CHROM	POS	SVTYPE	END	Similarity	AlleleID	HGNC_ID	ClinicalSignificance	PhenotypeList
1	19308406	Insertion	19308426	9.09	653023	HGNC:9987	Likely pathogenic	Bare lymphocyte syndrome 2
1	102511070	Insertion	102511112	4.55	1212109	HGNC:2961	Benign	-
1	102511060	Insertion	102511100	4.76	1212109	HGNC:2961	Benign	-
1	102455150	Duplication	102455199	7.69	642080	HGNC:2961	Uncertain significance	Charcot-Marie-Tooth disease, axonal, type 2O
1	100657299	Deletion	100657331	100.0	1241732	HGNC:2698	Benign	-
1	95570219	Duplication	95570241	8.0	921345	HGNC:17098	Pathogenic	DICER1-related pleuropulmonary blastoma cancer predisposition syndrome
1	92679004	Duplication	92679066	6.15	198351	HGNC:15819	Uncertain significance	ANKRD1-related dilated cardiomyopathy;Cardiovascular phenotype;Primary dilated cardiomyopathy
1	105803315	Insertion	105803335	9.09	205161	HGNC:2194	Likely pathogenic	Junctional epidermolysis bullosa, non-Herlitz type
1	10616	Deletion	10637	0.0	435724	-	Likely pathogenic	-
1	977156	Deletion	977203	100.0	656917	HGNC:329	Benign	-
1	1184468	Insertion	1184596	0.0	74155	-	Pathogenic	-
1	1229111	Insertion	1229131	0.0	73267	-	Pathogenic	-
1	1413217	Microsatellite	1413350	1.48	324097	HGNC:23026	Uncertain significance	Mucolipidosis type III gamma
1	1413217	Microsatellite	1413367	10.53	324097	HGNC:23026	Uncertain significance	Mucolipidosis type III gamma
1	2583441	Deletion	2583522	0.0	486767	HGNC:8574	Likely pathogenic	Lissencephaly due to LIS1 mutation
1	899922	Deletion	899992	100.0	1153756	HGNC:24023	Benign	-
1	110603286	Insertion	110603314	100.0	1229879	HGNC:449	Benign	-
1	111896187	Insertion	111898241	0.0	820427	HGNC:2896	Pathogenic	Pyruvate dehydrogenase E2 deficiency
1	111957501	Deletion	111957525	100.0	695986	HGNC:8524	Benign	-
1	237754389	Deletion	237754434	100.0	1262575	HGNC:10484	Benign	-
1	237060600	Microsatellite	237060640	13.64	1260543	HGNC:7468	Benign	-
1	237060600	Microsatellite	237060620	25.0	1260543	HGNC:7468	Benign	-
1	236900597	Microsatellite	236900633	10.0	1247236	HGNC:164	Benign	-
1	235543476	Microsatellite	235543496	100.0	1250141	HGNC:11582	Benign	-
1	213070508	Microsatellite	213070532	100.0	280296	HGNC:24682	Benign	Posterior column ataxia-retinitis pigmentosa syndrome
1	201081050	Microsatellite	201081078	6.67	1228493	HGNC:1397	Benign	-
1	179876726	Microsatellite	179876760	0.0	1285977	HGNC:29456	Benign	-
1	161279342	Insertion	161279384	4.55	1170616	HGNC:7225	Benign	-
1	154842199	Microsatellite	154842220	84.21	1280337	HGNC:6292	Benign	-
1	152327436	Deletion	152327667	100.0	970660	HGNC:33276	Benign	Peeling skin syndrome 6
1	152129065	Deletion	152129101	100.0	696101	HGNC:26809	Benign	-
1	111957547	Duplication	111957592	0.0	1057523	HGNC:10683	Pathogenic	Cowden syndrome 3;Pheochromocytoma;Paragangliomas 1;Carney-Stratakis syndrome
1	111957523	Insertion	111957544	100.0	246857	HGNC:8524	Benign	-
1	111957514	Deletion	111957583	0.0	695986	HGNC:8524	Benign	-
1	2583628	Deletion	2583706	0.0	265009	HGNC:8574	Pathogenic	-
1	248727925	Deletion	248727963	0.0	156982	-	Benign	-
1	2606545	Deletion	2606585	0.0	67630	HGNC:6294	Pathogenic	Cardiovascular phenotype
1	3319601	Duplication	3319632	100.0	1287155	HGNC:14000	Benign	-
1	26134788	Microsatellite	26134833	100.0	1260363	HGNC:15999	Benign	-
1	29426842	Insertion	29427169	0.0	555096	-	Uncertain significance	-
1	31205220	Duplication	31207796	0.23	342820	HGNC:4010	Uncertain significance	Amyotrophic Lateral Sclerosis, Dominant
1	32451981	Deletion	32452006	0.0	1259637	HGNC:12796	Benign	-
1	49446390	Duplication	49446424	0.0	962167	HGNC:7133	Likely pathogenic	Kabuki syndrome 1
1	55076137	Deletion	55076166	100.0	696798	HGNC:25032	Benign	-
1	25585373	Deletion	25655516	0.0	983697	HGNC:12496	Pathogenic	Angelman syndrome
1	56128963	Duplication	56128989	6.9	76647	HGNC:14674	Pathogenic	Usher syndrome, type 1G
1	65891826	Deletion	65891910	0.0	381315	-	Uncertain significance	-
1	67693700	Microsatellite	67693726	100.0	980563	HGNC:25070	Pathogenic	Dyskeratosis congenita, autosomal dominant 6
1	68572399	Deletion	68572419	0.0	968519	-	Pathogenic	-
1	72639006	Insertion	72639295	0.66	905953	HGNC:4878	Likely pathogenic	Tay-Sachs disease
1	86046215	Microsatellite	86046239	100.0	1271152	HGNC:2654	Benign	-
1	89257817	Deletion	89259780	0.0	1173819	HGNC:1754	Uncertain significance	-
1	65891826	Insertion	65891914	0.0	381315	-	Uncertain significance	-
1	24671447	Microsatellite	24671821	4.88	1252982	HGNC:25839	Benign	-
1	22985785	Microsatellite	22985847	33.33	1273675	HGNC:1242	Benign	-
1	21902717	Microsatellite	21902768	40.0	1238757	HGNC:438	Benign	-
1	3560092	Deletion	3560601	0.0	1054165	HGNC:2518	Pathogenic	Nephropathic cystinosis
1	3639235	Deletion	3639264	100.0	1063636	HGNC:23845	Pathogenic	Fanconi anemia
1	6220040	Deletion	6220236	0.0	1053620	HGNC:12726	Pathogenic	Von Willebrand disease, recessive form
1	7580260	Insertion	7581714	0.14	1269210	HGNC:11998	Benign	-
1	7580260	Insertion	7581560	0.15	1269210	HGNC:11998	Benign	-
1	7889972	Microsatellite	7890026	100.0	696881	HGNC:8847	Benign	-
1	8097727	Deletion	8097751	0.0	436593	-	Uncertain significance	-
